objectId,createdAt,updatedAt,ACL,ProgrammingLanguage,Source
DjeLZspRNR,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Ateji PX,http://en.wikipedia.org/wiki/Ateji_PX
Ec5Dt22hG4,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Alice,http://en.wikipedia.org/wiki/Alice_(programming_language)
QPZoGn2HEV,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BETA,http://en.wikipedia.org/wiki/BETA_(programming_language)
4NtB0AfUOe,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AppleScript,http://en.wikipedia.org/wiki/AppleScript
n5NOtqvIgR,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,A+,http://en.wikipedia.org/wiki/A%2B_(programming_language)
2hIKisDgJa,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,C#,http://en.wikipedia.org/wiki/C_Sharp_(programming_language)
HP4v9loH5B,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Averest,http://en.wikipedia.org/wiki/Averest
MXvxPePqSQ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Adenine,http://en.wikipedia.org/wiki/Adenine_(programming_language)
jKf80mL7e4,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AMPL,http://en.wikipedia.org/wiki/AMPL
7KFJyAXQhn,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Caml,http://en.wikipedia.org/wiki/Caml
JvciNSLeQj,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BLISS,http://en.wikipedia.org/wiki/BLISS_(programming_language)
qsOxFw2j4d,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BASIC,http://en.wikipedia.org/wiki/BASIC
ZE96iYnTyl,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Agilent VEE,http://en.wikipedia.org/wiki/Agilent_VEE
qgZReDYneX,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Axum,http://en.wikipedia.org/wiki/Axum_(programming_language)
egMkq08ZG7,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Agora,http://en.wikipedia.org/wiki/Agora_(programming_language)
aYdhnDbzNn,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Batch (Windows/Dos),http://en.wikipedia.org/wiki/Batch_file
LCpyuiJMJI,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Amiga E,http://en.wikipedia.org/wiki/Amiga_E
pPj6f5qoss,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BPEL,http://en.wikipedia.org/wiki/Business_Process_Execution_Language
0Lsw2QJbsA,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AWK,http://en.wikipedia.org/wiki/AWK
gJNGarHznS,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Action!,http://en.wikipedia.org/wiki/Action!_(programming_language)
KfrWvlUBy8,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BREW,http://en.wikipedia.org/wiki/Qualcomm_Brew
sSR30Umwq5,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Alef,http://en.wikipedia.org/wiki/Alef_(programming_language)
QF1kbKJRcV,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cayenne,http://en.wikipedia.org/wiki/Cayenne_(programming_language)
c2DfnS33sE,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CHAIN,http://en.wikipedia.org/wiki/CHAIN_(programming_language)
tx8wc2lpBh,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,C++,http://en.wikipedia.org/wiki/C%2B%2B
qF4Jy8iPxY,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ACL2,http://en.wikipedia.org/wiki/ACL2
1k5PgFnG5R,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Chapel,http://en.wikipedia.org/wiki/Chapel_(programming_language)
momq5ks7bV,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AutoIt,http://en.wikipedia.org/wiki/AutoIt
kr0n0SvBbA,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Bash,http://en.wikipedia.org/wiki/Bash_(Unix_shell)
XSPR6eH60N,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Bon,http://en.wikipedia.org/wiki/Bon_(programming_language)
nkRxh9K161,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Bistro,http://en.wikipedia.org/wiki/Bistro_(programming_language)
pkuI60EsYU,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ATS,http://en.wikipedia.org/wiki/ATS_(programming_language)
2DGrDPRA56,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ABC,http://en.wikipedia.org/wiki/ABC_(programming_language)
JRE6xJzPsH,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,C,http://en.wikipedia.org/wiki/C_(programming_language)
HYSXiIlA3l,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Alma-0,http://en.wikipedia.org/wiki/Alma-0
vm1AG2rLtl,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ksh,http://en.wikipedia.org/wiki/Korn_shell
4EP99DYU00,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ABSYS,http://en.wikipedia.org/wiki/ABSYS
Z59HeJtwQB,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Accent,http://en.wikipedia.org/wiki/Accent_(programming_language)
B5Nkkn5FZp,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,A++,http://en.wikipedia.org/wiki/A%2B%2B
51YcAh2TrL,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Autocoder,http://en.wikipedia.org/wiki/Autocoder
FD8lYKnuNw,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AMOS,http://en.wikipedia.org/wiki/AMOS_(programming_language)
p5rYYhbDLa,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cg,http://en.wikipedia.org/wiki/Cg_(programming_language)
u7b0L09iZb,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Boo,http://en.wikipedia.org/wiki/Boo_(programming_language)
niTGY7tZ4r,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Argus,http://en.wikipedia.org/wiki/Argus_(programming_language)
YCLLBXgDR4,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,App Inventor for Android's visual block language,http://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language)
JM6bZSXRSt,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cesil,http://en.wikipedia.org/wiki/Cesil
LgfFUpeS7R,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Babbage,http://en.wikipedia.org/wiki/Babbage_(programming_language)
EOrYZ9TTCQ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cecil,http://en.wikipedia.org/wiki/Cecil_(programming_language)
VVUV0tpC98,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BCPL,http://en.wikipedia.org/wiki/BCPL
I9pVD2ZlIc,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cach̩ ObjectScript,http://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript
Z6INWghsxW,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ABSET,http://en.wikipedia.org/wiki/ABSET
gSoMvKT45m,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AspectJ,http://en.wikipedia.org/wiki/AspectJ
2LXBLot3mO,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,C/AL,http://en.wikipedia.org/wiki/C/AL
yaUUE34nvD,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Ada,http://en.wikipedia.org/wiki/Ada_(programming_language)
PNBOz8Asff,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AutoHotkey,http://en.wikipedia.org/wiki/AutoHotkey
MGdgntUrH5,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,C--,http://en.wikipedia.org/wiki/C--
uMpL4slYPP,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Bertrand,http://en.wikipedia.org/wiki/Bertrand_(programming_language)
yQNM1ZjfMr,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,APL,http://en.wikipedia.org/wiki/APL_(programming_language)
ngrvJGjF4X,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,bc,http://en.wikipedia.org/wiki/Bc_(programming_language)
3oDckWmVEj,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Charity,http://en.wikipedia.org/wiki/Charity_(programming_language)
vkoiRo9Ayp,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Ch,http://en.wikipedia.org/wiki/Ch_(computer_programming)
VmbbgHYNbY,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CDuce,http://en.wikipedia.org/wiki/CDuce
yCKjOwvKFC,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BeanShell,http://en.wikipedia.org/wiki/BeanShell
x7aHvLCPf8,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Ceylon,http://en.wikipedia.org/wiki/Ceylon_(programming_language)
Kxn7pvI62P,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Charm,http://en.wikipedia.org/wiki/Charm_(language)
bDTgWD3inj,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Candle,http://en.wikipedia.org/wiki/Candle_(programming_language)
5Gd4wS5ryP,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,C Shell,http://en.wikipedia.org/wiki/C_Shell
k9ZnFYAuuj,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CHILL,http://en.wikipedia.org/wiki/CHILL
SFkQYtb5xj,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,bash,http://en.wikipedia.org/wiki/Bash_(Unix_shell)
yda4UHQQqm,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CHIP-8,http://en.wikipedia.org/wiki/CHIP-8
JKinRGe01d,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CICS,http://en.wikipedia.org/wiki/CICS
p2vzVI7D2P,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CL,http://en.wikipedia.org/wiki/AS/400_Control_Language
rH1T4v5uLV,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Claire,http://en.wikipedia.org/wiki/Claire_(programming_language)
v41gpNw4uQ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ChucK,http://en.wikipedia.org/wiki/ChucK
dWzoChFLZ6,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cilk,http://en.wikipedia.org/wiki/Cilk
mb5LCizE2c,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,chomski,http://en.wikipedia.org/wiki/Chomski
YrpKcehHeE,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Clipper,http://en.wikipedia.org/wiki/Clipper_(programming_language)
qIh5116wzf,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,COMAL,http://en.wikipedia.org/wiki/COMAL
hecgxxDSG8,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CLU,http://en.wikipedia.org/wiki/CLU_(programming_language)
lWlftXLtOd,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Clojure,http://en.wikipedia.org/wiki/Clojure
x7EJPc3uxE,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Clarion,http://en.wikipedia.org/wiki/Clarion_(programming_language)
OA2NEI4dqK,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CODE,http://en.wikipedia.org/wiki/CODE_(programming_language)
rFE1qDEJ4K,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cobra,http://en.wikipedia.org/wiki/Cobra_(programming_language)
tQtItGYnsH,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CLIST,http://en.wikipedia.org/wiki/CLIST
DvePtuY0Aq,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ColdC,http://en.wikipedia.org/wiki/ColdC
nYnHpHlZmm,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ColdFusion,http://en.wikipedia.org/wiki/ColdFusion
WcPt6bbpmE,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,COBOL,http://en.wikipedia.org/wiki/COBOL
i3OjAPenoo,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cython,http://en.wikipedia.org/wiki/Cython
zyWtwfMJI2,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cool,http://en.wikipedia.org/wiki/Cool_(programming_language)
